,Date,Year,Week,Month,START hour,Week day,T High,T Low,P Open,P High,P Low,P Close,variacion PH-PL,variacion TH-TL,High first,H sweep,L sweep,Variacion Posterior PH-PL,Contenido,Trend,isHigh
0,2019-09-12 18:00:00,2019,36,Sep,18,Thursday,2019-09-13 03:14:50,2019-09-12 19:54:45,1.114,1.1184,1.113,1.11485,0.005400000000000071,0 days 07:20:05,False,False,False,-0.009200000000000097,True,Converge,NaN
1,2019-09-15 18:00:00,2019,37,Sep,18,Sunday,2019-09-15 19:27:15,2019-09-16 11:03:35,1.11495,1.11595,1.10675,1.1079,-0.009200000000000097,0 days 15:36:20,True,False,True,0.008199999999999985,False,T_Down,NaN
2,2019-09-16 18:00:00,2019,37,Sep,18,Monday,2019-09-17 13:35:00,2019-09-17 02:55:15,1.1078,1.11475,1.10655,1.11445,0.008199999999999985,0 days 10:39:45,False,False,True,-0.006299999999999972,False,T_Down,NaN
3,2019-09-17 18:00:00,2019,37,Sep,18,Tuesday,2019-09-17 19:51:10,2019-09-18 14:47:15,1.1145,1.1148,1.1085,1.1103,-0.006299999999999972,0 days 18:56:05,True,True,False,0.005049999999999999,False,T_Up,NaN
4,2019-09-18 18:00:00,2019,37,Sep,18,Wednesday,2019-09-19 07:29:50,2019-09-18 20:54:55,1.1104,1.1144,1.10935,1.1111,0.005049999999999999,0 days 10:34:55,False,False,False,-0.007399999999999851,True,Converge,NaN
5,2019-09-19 18:00:00,2019,37,Sep,18,Thursday,2019-09-20 03:13:15,2019-09-20 11:43:00,1.1109,1.1137,1.1063,1.10865,-0.007399999999999851,0 days 08:29:45,True,False,True,-0.0059499999999999,False,T_Down,NaN
6,2019-09-22 18:00:00,2019,38,Sep,18,Sunday,2019-09-22 22:15:55,2019-09-23 03:43:45,1.1085,1.1091,1.10315,1.1059,-0.0059499999999999,0 days 05:27:50,True,False,True,0.004350000000000076,False,T_Down,NaN
7,2019-09-23 18:00:00,2019,38,Sep,18,Monday,2019-09-24 15:36:15,2019-09-24 02:16:40,1.10585,1.10925,1.1049,1.10885,0.004350000000000076,0 days 13:19:35,False,True,False,-0.008450000000000069,False,T_Up,NaN
8,2019-09-24 18:00:00,2019,38,Sep,18,Tuesday,2019-09-24 18:00:10,2019-09-25 14:49:25,1.10855,1.1088,1.10035,1.1009,-0.008450000000000069,0 days 20:49:15,True,False,True,-0.005950000000000122,False,T_Down,NaN
9,2019-09-25 18:00:00,2019,38,Sep,18,Wednesday,2019-09-26 09:58:30,2019-09-26 15:37:05,1.1009,1.10315,1.0972,1.09825,-0.005950000000000122,0 days 05:38:35,True,False,True,0.005400000000000071,False,T_Down,NaN
